##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	AB_08_R2_fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1779794
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.079963186750827	32.0	32.0	32.0	27.0	32.0
2	31.227947166919318	32.0	32.0	32.0	32.0	32.0
3	34.7580916667884	37.0	32.0	37.0	32.0	37.0
4	35.522275611671915	37.0	37.0	37.0	32.0	37.0
5	35.90507834052705	37.0	37.0	37.0	37.0	37.0
6	39.27249670467481	41.0	41.0	41.0	37.0	41.0
7	39.396322271004394	41.0	41.0	41.0	37.0	41.0
8	39.38247741030703	41.0	41.0	41.0	37.0	41.0
9	39.47025498456563	41.0	41.0	41.0	37.0	41.0
10-14	39.48941540425465	41.0	41.0	41.0	37.0	41.0
15-19	39.36330519149969	41.0	41.0	41.0	37.0	41.0
20-24	39.233687269425566	41.0	41.0	41.0	37.0	41.0
25-29	39.182936564568706	41.0	41.0	41.0	37.0	41.0
30-34	39.12645879242204	41.0	41.0	41.0	37.0	41.0
35-39	39.04209183759468	41.0	41.0	41.0	37.0	41.0
40-44	38.91723053342128	41.0	41.0	41.0	37.0	41.0
45-49	38.836896629609946	41.0	41.0	41.0	37.0	41.0
50-54	38.72731214960832	41.0	41.0	41.0	32.0	41.0
55-59	38.60459322820506	41.0	41.0	41.0	32.0	41.0
60-64	38.443906317247944	41.0	41.0	41.0	32.0	41.0
65-69	38.3836712563364	41.0	41.0	41.0	32.0	41.0
70-74	38.26670805722459	41.0	41.0	41.0	32.0	41.0
75-79	37.91458292364173	41.0	38.6	41.0	31.0	41.0
80-84	38.3074066998765	41.0	41.0	41.0	32.0	41.0
85-89	38.18440639759433	41.0	41.0	41.0	32.0	41.0
90-94	38.02668600972921	41.0	38.6	41.0	32.0	41.0
95-99	37.89703179131967	41.0	37.0	41.0	30.0	41.0
100-104	37.82198872453779	41.0	37.0	41.0	29.0	41.0
105-109	37.62013828566677	41.0	37.0	41.0	27.0	41.0
110-114	37.48091970194303	41.0	37.0	41.0	27.0	41.0
115-119	37.298505557384736	41.0	37.0	41.0	27.0	41.0
120-124	37.047274684598335	41.0	37.0	41.0	27.0	41.0
125-129	36.753171209701804	41.0	37.0	41.0	23.0	41.0
130-134	36.378979814517855	41.0	37.0	41.0	22.0	41.0
135-139	36.04308757080876	41.0	37.0	41.0	22.0	41.0
140-144	35.55475622459677	41.0	35.0	41.0	22.0	41.0
145-149	34.99920687450346	41.0	32.0	41.0	18.0	41.0
150	34.66761434188451	41.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.5397583012480851
1101	2	-1.8857328001331553E-4
1101	3	-0.027019732894814297
1101	4	-0.37140272831106813
1101	5	-0.3480762331428977
1101	6	-0.7024394892876273
1101	7	-0.44937004868972963
1101	8	-0.8691477409919557
1101	9	-0.9358215916496988
1101	10-14	-0.8671150793718709
1101	15-19	-1.2458823282308131
1101	20-24	-1.8813985804250635
1101	25-29	-2.1854832875163552
1101	30-34	-2.113469784336168
1101	35-39	-1.7847453458038487
1101	40-44	-1.9679375144203206
1101	45-49	-1.804361198646447
1101	50-54	-2.4809365791484055
1101	55-59	-2.5375680647905483
1101	60-64	-2.688984691362002
1101	65-69	-2.0993657586624863
1101	70-74	-1.8424989682275807
1101	75-79	-1.9493843282630152
1101	80-84	-2.080821202112908
1101	85-89	-1.8285806085648062
1101	90-94	-1.6583656138763345
1101	95-99	-1.5723225804285619
1101	100-104	-1.2851493150152606
1101	105-109	-1.429424624578374
1101	110-114	-1.4680888335850781
1101	115-119	-1.5050693623319233
1101	120-124	-1.8354444737256301
1101	125-129	-1.879029249416277
1101	130-134	-2.155849567467648
1101	135-139	-1.727949391852178
1101	140-144	-2.1697394841186934
1101	145-149	-2.131985494450369
1101	150	-2.2502984762375178
1102	1	0.3117070738102079
1102	2	0.10119317564976527
1102	3	0.33282949545570517
1102	4	0.29058493371396565
1102	5	0.11473601237420183
1102	6	0.05389759627327351
1102	7	0.40972340567630994
1102	8	0.3007288321500994
1102	9	0.42619461799851877
1102	10-14	0.2525577504199106
1102	15-19	0.21970189463787193
1102	20-24	0.1552281771459434
1102	25-29	0.12478402689975354
1102	30-34	0.02489065248957445
1102	35-39	0.20311597869908127
1102	40-44	0.11255265046811758
1102	45-49	0.06716118108843716
1102	50-54	-0.1502014040484596
1102	55-59	-0.11804406578672655
1102	60-64	-0.2085126788676277
1102	65-69	-0.13005253784677961
1102	70-74	-0.34964017658032986
1102	75-79	-0.028406033564237987
1102	80-84	0.23979084134104056
1102	85-89	0.27214388551571744
1102	90-94	0.2943468343006188
1102	95-99	0.1473103643451381
1102	100-104	0.28378427580152277
1102	105-109	0.20151836088746222
1102	110-114	0.07052573675749585
1102	115-119	0.26504017700239757
1102	120-124	0.18977856046902275
1102	125-129	0.14945418087114604
1102	130-134	0.21083833980313926
1102	135-139	0.3597445097913621
1102	140-144	0.008061142924034925
1102	145-149	-0.11418967873422758
1102	150	-0.26390397823443834
1103	1	0.48140638109668643
1103	2	0.06367926904786003
1103	3	-0.026261255055011645
1103	4	-0.09428390813260279
1103	5	-0.005597280902954083
1103	6	0.14061664608895086
1103	7	-0.019433360006651412
1103	8	0.1985312983187768
1103	9	-0.008896923298756576
1103	10-14	0.00873344458708658
1103	15-19	0.020527956482034426
1103	20-24	0.09074302183779537
1103	25-29	0.04115679748248624
1103	30-34	-0.1253894177508741
1103	35-39	-0.17436443576610827
1103	40-44	-0.5681944102480116
1103	45-49	-0.3810996699374414
1103	50-54	-0.32524278466876666
1103	55-59	-0.8195535377816441
1103	60-64	-0.7375806748826861
1103	65-69	-0.9696880007476452
1103	70-74	-0.8423060188649245
1103	75-79	-0.7490017594404037
1103	80-84	-1.2488257085812435
1103	85-89	-0.7860700222491062
1103	90-94	-1.0444455105753505
1103	95-99	-0.687898632014921
1103	100-104	-1.1727026936640499
1103	105-109	-1.237753882891873
1103	110-114	-0.9587356918527021
1103	115-119	-0.9843506459970826
1103	120-124	-0.7283533225720973
1103	125-129	-0.6873251470378037
1103	130-134	-0.3963392111618873
1103	135-139	-0.7096741457939473
1103	140-144	-0.8295357187387111
1103	145-149	-0.724574179317635
1103	150	-0.6342421170174788
1104	1	0.3942978961779815
1104	2	-0.01806096962668491
1104	3	0.05941827223036
1104	4	0.019878220628065435
1104	5	0.031053551368316334
1104	6	-0.024057203986359355
1104	7	-0.08954883523161783
1104	8	0.1156478935375631
1104	9	0.02656439829394941
1104	10-14	-0.04150098170573102
1104	15-19	0.1130124117402076
1104	20-24	0.07604484086223806
1104	25-29	-0.003173330351287973
1104	30-34	-0.03045719668727287
1104	35-39	0.028829477646787893
1104	40-44	-0.3045555889449503
1104	45-49	-0.25203080962771196
1104	50-54	-0.2144267339986996
1104	55-59	-0.28594831629320794
1104	60-64	-0.3285288075826429
1104	65-69	-0.24186426460274646
1104	70-74	-0.3904796565276243
1104	75-79	-0.20773964226587793
1104	80-84	-0.14528498328868977
1104	85-89	0.10043443841593813
1104	90-94	0.12947871604961136
1104	95-99	0.14875683471353796
1104	100-104	0.05803379882427606
1104	105-109	0.028235380615633687
1104	110-114	-0.05458785266836941
1104	115-119	-0.11755575934818552
1104	120-124	-0.06786979420535744
1104	125-129	0.08474066225428345
1104	130-134	0.063751933162834
1104	135-139	0.11062863874240492
1104	140-144	0.09897005502254075
1104	145-149	0.06573439829021055
1104	150	0.015640090528961537
1105	1	0.4772235712372783
1105	2	-0.048472847021319154
1105	3	-0.22003575075815007
1105	4	-0.1766900379013947
1105	5	-0.1203843705437393
1105	6	-0.358815345748809
1105	7	-0.1028333636023504
1105	8	-0.05028099717581114
1105	9	-0.0607103918903249
1105	10-14	-0.15469154912043592
1105	15-19	-0.3057318867454697
1105	20-24	-0.2719019298000447
1105	25-29	-0.2849862978754629
1105	30-34	-0.5438131080173179
1105	35-39	-0.545279945816084
1105	40-44	-0.5915857841648062
1105	45-49	-0.4407077162140993
1105	50-54	-0.3965515743562946
1105	55-59	-0.38621263849719156
1105	60-64	-0.4510293777340735
1105	65-69	-0.3512538604794173
1105	70-74	-0.4010226687516578
1105	75-79	-0.27739048152879064
1105	80-84	-0.2216146904589138
1105	85-89	-0.3122978412775481
1105	90-94	-0.24730802450867628
1105	95-99	0.012734211104707072
1105	100-104	-0.1733395819456618
1105	105-109	-0.0817767065947308
1105	110-114	-0.15398577275593794
1105	115-119	-0.2661735982461906
1105	120-124	-0.13620700456843338
1105	125-129	-0.06631468804675933
1105	130-134	0.06051655184555216
1105	135-139	-0.026063456678130592
1105	140-144	-0.07190204860818028
1105	145-149	0.3722846400344295
1105	150	0.24001121349922272
1106	1	0.41907195519861773
1106	2	-0.39149499374563845
1106	3	-0.2528402455076133
1106	4	-0.3243131030153066
1106	5	-0.35172475606752585
1106	6	-0.6004768269813212
1106	7	-0.257322208484446
1106	8	-0.4128075677946086
1106	9	-0.4871364619822529
1106	10-14	-0.7034384151500177
1106	15-19	-0.6981399569464131
1106	20-24	-1.0808584993287766
1106	25-29	-0.8637144736321574
1106	30-34	-0.9192393734146549
1106	35-39	-1.302169457461737
1106	40-44	-1.012889061661994
1106	45-49	-1.4844941656527126
1106	50-54	-1.702752066707589
1106	55-59	-1.6813502152567565
1106	60-64	-1.6253166265622383
1106	65-69	-1.236003347234977
1106	70-74	-2.2506336476405124
1106	75-79	-1.7618929977890971
1106	80-84	-1.5913622241604557
1106	85-89	-2.3593150054430936
1106	90-94	-2.274312743632265
1106	95-99	-2.3413989962642106
1106	100-104	-2.354905022881674
1106	105-109	-2.021255422847773
1106	110-114	-2.13078167406767
1106	115-119	-2.1706661902668287
1106	120-124	-2.0782728361152465
1106	125-129	-2.4094068949069722
1106	130-134	-2.4613202954710403
1106	135-139	-2.6850571569433797
1106	140-144	-2.7172837571216846
1106	145-149	-3.3009992840598983
1106	150	-2.86754131457025
1107	1	0.30247575790490444
1107	2	0.1960424866479613
1107	3	0.2897592604001531
1107	4	-0.17422103818935142
1107	5	-0.05371575417343166
1107	6	-0.06301568229765309
1107	7	0.22156282817649497
1107	8	-0.01328087119495791
1107	9	-0.05642816778838977
1107	10-14	0.09515817372169266
1107	15-19	-0.0393066833763811
1107	20-24	0.03553948910428062
1107	25-29	0.015799507682089597
1107	30-34	-0.05785952296225361
1107	35-39	0.00919642377573382
1107	40-44	-0.025147982710628014
1107	45-49	0.04598578137427012
1107	50-54	-0.08913175216926561
1107	55-59	-0.09922421073820686
1107	60-64	-0.3275557707223413
1107	65-69	-0.28606934352599467
1107	70-74	-0.15773429858392518
1107	75-79	-0.029005286078493953
1107	80-84	-0.1589997329324646
1107	85-89	-0.1444321818577805
1107	90-94	-0.05010772395436902
1107	95-99	-0.23956583928763564
1107	100-104	-0.16065780957505638
1107	105-109	-0.14226776195431512
1107	110-114	-0.29065339927671374
1107	115-119	-0.19446687266848528
1107	120-124	-0.07278689442517106
1107	125-129	-0.33976309888830514
1107	130-134	-0.3137052914342604
1107	135-139	-0.19536709752472348
