##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	AB_16_R1_fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1256289
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.481416298319893	32.0	32.0	32.0	27.0	32.0
2	31.33852799793678	32.0	32.0	32.0	32.0	32.0
3	34.74609186262078	37.0	32.0	37.0	32.0	37.0
4	36.099188164506735	37.0	37.0	37.0	32.0	37.0
5	36.2989471371635	37.0	37.0	37.0	37.0	37.0
6	39.86339289765333	41.0	41.0	41.0	37.0	41.0
7	39.785891622071034	41.0	41.0	41.0	37.0	41.0
8	40.01132223556841	41.0	41.0	41.0	37.0	41.0
9	40.03147603775883	41.0	41.0	41.0	37.0	41.0
10-14	40.07041898798764	41.0	41.0	41.0	37.0	41.0
15-19	40.093761387706174	41.0	41.0	41.0	37.0	41.0
20-24	40.057090685343894	41.0	41.0	41.0	37.0	41.0
25-29	39.954959089827256	41.0	41.0	41.0	37.0	41.0
30-34	39.8828073795122	41.0	41.0	41.0	37.0	41.0
35-39	39.84000815099074	41.0	41.0	41.0	37.0	41.0
40-44	39.804381635117394	41.0	41.0	41.0	37.0	41.0
45-49	39.77256538901479	41.0	41.0	41.0	37.0	41.0
50-54	39.70074401670316	41.0	41.0	41.0	37.0	41.0
55-59	39.64311348742208	41.0	41.0	41.0	37.0	41.0
60-64	39.57265661006345	41.0	41.0	41.0	37.0	41.0
65-69	39.52144259800094	41.0	41.0	41.0	37.0	41.0
70-74	39.47437906405294	41.0	41.0	41.0	37.0	41.0
75-79	39.19696089036838	41.0	40.2	41.0	36.0	41.0
80-84	39.490708427758264	41.0	41.0	41.0	37.0	41.0
85-89	39.434213465213816	41.0	41.0	41.0	37.0	41.0
90-94	39.37787117454663	41.0	41.0	41.0	37.0	41.0
95-99	39.30444666792434	41.0	41.0	41.0	37.0	41.0
100-104	39.19070723376548	41.0	41.0	41.0	37.0	41.0
105-109	39.09742264717752	41.0	41.0	41.0	37.0	41.0
110-114	38.993642386425414	41.0	41.0	41.0	36.0	41.0
115-119	38.869262566177056	41.0	41.0	41.0	32.0	41.0
120-124	38.7430777472381	41.0	41.0	41.0	32.0	41.0
125-129	38.55819687985805	41.0	39.4	41.0	32.0	41.0
130-134	38.366391968726944	41.0	37.0	41.0	32.0	41.0
135-139	38.13756691334557	41.0	37.0	41.0	32.0	41.0
140-144	37.89389209011621	41.0	37.0	41.0	32.0	41.0
145-149	37.664858324796285	41.0	37.0	41.0	31.0	41.0
150	37.48460346305667	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.4919169809980879
1101	2	0.23512148043352354
1101	3	0.22748065527392214
1101	4	-0.3895326962791046
1101	5	-0.04511610645883479
1101	6	-0.4431519039498397
1101	7	-0.19117441678228886
1101	8	-0.4324611200396973
1101	9	-0.6140628320121237
1101	10-14	-0.6451512095426324
1101	15-19	-0.32784530036938264
1101	20-24	-0.4366637139735303
1101	25-29	-0.5069058381310114
1101	30-34	-0.4339574897745635
1101	35-39	-0.49786885059670993
1101	40-44	-0.15799144596221026
1101	45-49	-0.20097299377417954
1101	50-54	-0.5643179210252924
1101	55-59	-0.7865035519939454
1101	60-64	-0.6335681064513494
1101	65-69	-0.6299669695069454
1101	70-74	-0.753812811269384
1101	75-79	-0.5672198500683763
1101	80-84	-0.375805918140685
1101	85-89	-0.13098532653536665
1101	90-94	-0.33530773142719994
1101	95-99	-0.3463443485749593
1101	100-104	-0.17005288789644624
1101	105-109	-0.45006536983741796
1101	110-114	-0.5592252858580338
1101	115-119	-0.3441096077024426
1101	120-124	-0.16430974340563154
1101	125-129	-0.2229661098144291
1101	130-134	-0.02736227637500832
1101	135-139	0.1768117937138527
1101	140-144	0.05436531094510855
1101	145-149	-0.029111155100309816
1101	150	-0.2234067368109578
1102	1	0.5718705097235173
1102	2	0.04034226884961001
1102	3	0.5117681788336625
1102	4	0.12376422125931441
1102	5	0.08584612815129589
1102	6	0.06508153941204853
1102	7	0.30028299618379606
1102	8	0.03853172976634056
1102	9	-0.04555509843413574
1102	10-14	0.07412888459660394
1102	15-19	-0.1136366583078896
1102	20-24	-9.36428554140889E-4
1102	25-29	-0.010423843256816667
1102	30-34	-0.03079749296572487
1102	35-39	0.014143126227494918
1102	40-44	-0.06313968533913794
1102	45-49	-0.04497834894036856
1102	50-54	-0.09770144865376551
1102	55-59	-0.060200162383168276
1102	60-64	0.07798888069426368
1102	65-69	-0.044578994198545274
1102	70-74	0.1175998755880201
1102	75-79	0.246022219399201
1102	80-84	0.24763913905089652
1102	85-89	0.173853519860117
1102	90-94	0.19267500638904522
1102	95-99	0.17373902049272516
1102	100-104	0.31942650418748997
1102	105-109	0.21697268475136156
1102	110-114	0.19680525953123862
1102	115-119	0.4426376025252239
1102	120-124	0.31110660331395934
1102	125-129	0.3945082362469776
1102	130-134	0.5616960321104898
1102	135-139	0.5841133184902247
1102	140-144	0.5065168511786595
1102	145-149	0.704549355285927
1102	150	0.7325340571896604
1103	1	0.7498743695052958
1103	2	0.10603109482532602
1103	3	0.530610991638639
1103	4	0.12727561157205258
1103	5	0.04053875236328963
1103	6	-0.008513684657515341
1103	7	0.3199599702555531
1103	8	0.09979037910648714
1103	9	0.05292318919433825
1103	10-14	0.0825353398398363
1103	15-19	0.030138894062929467
1103	20-24	0.029938088973132437
1103	25-29	0.05794067312747586
1103	30-34	-0.022783390255085578
1103	35-39	0.022086671423870996
1103	40-44	6.291409882734911E-4
1103	45-49	0.08808125347572826
1103	50-54	0.04833348281093919
1103	55-59	0.14525650519203026
1103	60-64	-0.015977462712022827
1103	65-69	-0.138671945480894
1103	70-74	-0.12652934357548418
1103	75-79	-0.09786895058066136
1103	80-84	-0.0695740369604323
1103	85-89	0.05586289235983344
1103	90-94	0.1746571230265559
1103	95-99	0.14095659261085558
1103	100-104	-0.02474491760137454
1103	105-109	0.05338365919240573
1103	110-114	0.12268865719426714
1103	115-119	0.24655299505360517
1103	120-124	0.1618240479449824
1103	125-129	0.29630536471001534
1103	130-134	0.2702112909972101
1103	135-139	0.16016332860126425
1103	140-144	-0.05859982149601706
