V1	V2
MA_20603	198197
MA_20595	168074
MA_20598	162097
MA_20598	162097
MA_10435771	161784
MA_18863	161531
MA_20599	161135
MA_20584	153330
MA_20581	151827
MA_20596	151345
MA_20596	151345
MA_20596	151345
MA_20596	151345
MA_10432881	149933
MA_14509	149741
MA_19860	149225
MA_20304	148917
MA_10433816	147468
MA_10433816	147468
MA_20353	146675
MA_20588	145697
MA_20115	145571
MA_20115	145571
MA_20115	145571
MA_20470	144342
MA_20554	144278
MA_20544	144253
MA_20570	141042
MA_20565	140488
MA_20565	140488
MA_19715	137607
MA_20296	136968
MA_10436996	136955
MA_10436996	136955
MA_10435451	136925
MA_10435451	136925
MA_10431382	136643
MA_20242	135871
MA_10437259	135607
MA_10437259	135607
MA_10437259	135607
MA_10437259	135607
MA_20586	134952
MA_20586	134952
MA_20449	134587
MA_10436479	133397
MA_10436479	133397
MA_10436479	133397
MA_20587	133249
MA_6205	133115
MA_10435700	133097
MA_10435700	133097
MA_10437213	131524
MA_18947	130858
MA_18947	130858
MA_18947	130858
MA_11233	130471
MA_2116	130274
MA_8772	130038
MA_20550	128988
MA_20566	128499
MA_19662	128186
MA_20197	127993
MA_20533	127169
MA_20414	126937
MA_20585	126824
MA_20580	126104
MA_20580	126104
MA_19102	125455
MA_10432282	125004
MA_10432282	125004
MA_20188	124764
MA_18049	124640
chloroplast	124084
MA_20205	123863
MA_20205	123863
MA_10431330	123449
MA_10431946	123353
MA_10431946	123353
MA_20198	123148
MA_19007	123057
MA_19007	123057
MA_10425793	122812
MA_10425793	122812
MA_20496	121992
MA_18969	121683
MA_19773	121672
MA_10436304	121571
MA_10436304	121571
MA_10436304	121571
MA_18589	121528
MA_18589	121528
MA_18589	121528
MA_19383	121407
MA_10426778	121172
MA_10426778	121172
MA_10434805	120835
MA_10435645	120781
MA_10435645	120781
MA_20324	120664
MA_17729	120487
MA_19146	119600
MA_10436888	119389
MA_10436888	119389
MA_19263	119225
MA_10432245	118873
MA_41974	118625
MA_17258	118435
MA_10427098	118010
MA_10427098	118010
MA_10427774	117523
